YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2020,10,16,5.71,5.66,23.34,21.5,93.71,3.07,45.62,12.86,169.0155708,196.758
2020,10,17,5.74,5.72,22.99,23.44,93.74,2.97,99.88,12.95,163.7558334,198.135
2020,10,18,5.7,5.56,23.18,22.38,93.79,3.39,125.44,12.56,186.8930133,192.168
2020,10,19,5.72,5.6,23,18.94,93.91,3.6,126.5,12.65,198.8451751,193.545
2020,10,20,5.66,5.62,22.6,15.19,93.94,3.47,135.56,12.55,191.9851911,192.015
2020,10,21,5.53,5.32,22.19,21.31,94,3.21,132.69,11.9,177.9602752,182.07
2020,10,22,5.53,5.43,22.95,20.19,94.11,3.47,120.12,12.47,192.1052766,190.791
2020,10,23,5.45,5.41,22.86,20.31,94.02,2.86,101.19,12.22,158.2312832,186.966
2020,10,24,5.47,5.33,20.93,22.06,93.82,2.95,99,11.94,163.9322531,182.682
2020,10,25,5.38,5.31,20.62,16.19,93.58,3.7,123.25,11.97,205.3003902,183.141
2020,10,26,5.37,5.4,22.15,13.56,93.68,3.89,106.5,12.23,214.9539794,187.119
2020,10,27,5.26,5.28,22.26,13.38,93.82,4.51,122.25,11.88,249.4934974,181.764
2020,10,28,5.13,5,22.09,18.44,93.91,3.68,129.62,11.24,203.8904647,171.972
2020,10,29,5.17,5.16,21.97,18.5,93.93,3.35,122.88,11.72,185.721824,179.316
2020,10,30,5.24,5.26,20.26,13.12,93.84,3.64,88.12,11.64,202.7808432,178.092
2020,10,31,5.03,5.05,20.35,15.81,93.64,1.73,153.69,11.41,96.14171296,174.573
2020,11,1,4.73,4.7,23.12,21.5,93.6,3.27,209.75,10.77,179.9485606,164.781
2020,11,2,4.44,3.92,23.9,39.5,93.79,2.54,211.94,9.08,139.692519,138.924
2020,11,3,4.47,3.23,22.43,54.06,93.8,3.44,146.19,7.61,190.1510331,116.433
2020,11,4,4.76,4.8,19.8,54.25,93.62,3.84,267.62,11.07,213.7562451,169.371
2020,11,5,4.85,4.77,18.39,51.69,93.42,3.23,277.06,10.99,180.283794,168.147
2020,11,6,4.71,4.48,18.15,50.75,93.52,2.48,261.56,10.47,138.684571,160.191
2020,11,7,4.53,3.97,18.2,49.94,93.56,4.3,84.69,9.16,240.5227161,140.148
2020,11,8,4.54,4.18,18.58,48.69,93.74,5.88,85.88,9.52,329.1043604,145.656
2020,11,9,4.45,3.18,18.08,57.81,93.87,3.76,119.88,7.75,211.1013476,118.575
2020,11,10,4.47,4.43,17.83,58.44,93.72,3.16,214.88,10.23,177.2836465,156.519
2020,11,11,4.32,4.16,17.46,43,93.73,2.55,41.38,9.45,143.2585978,144.585
2020,11,12,4.16,3.79,16.29,66.31,94.04,4.41,63.5,8.41,249.5773181,128.673
2020,11,13,4.48,4.49,15.45,63.19,94.25,3.12,76.62,10.05,177.4810867,153.765
2020,11,14,4.38,3.87,15.11,56.75,94.04,3.41,107.38,8.97,193.7738063,137.241
2020,11,15,4.14,4.19,15.23,51.44,93.62,4.23,99.56,9.28,239.1973257,141.984
2020,11,16,4.42,4.38,14.37,62.62,93.86,2.52,248.06,9.95,143.2931679,152.235
2020,11,17,4.3,4.34,13.95,53.19,94.13,2.69,44.5,9.66,153.6241876,147.798
2020,11,18,4.43,4.47,12.57,59.38,94.11,4.16,88.25,10.01,238.6716941,153.153
2020,11,19,3.97,3.8,14.97,49.88,93.59,4.69,109.19,8.27,265.3635919,126.531
2020,11,20,4.02,3.74,16.98,56,93.28,3.05,186.19,8.59,170.8079938,131.427
2020,11,21,4.32,4.34,14.24,63.12,93.59,4.76,285.38,9.6,270.0083536,146.88
2020,11,22,4.44,4.5,13.43,59.5,94.18,2.41,331.5,9.98,137.9565431,152.694
2020,11,23,4.43,4.47,14.89,53.19,94.2,1.24,201.25,9.84,70.6369988,150.552
2020,11,24,4.32,4.22,13.82,52.56,93.97,2.72,122.25,9.38,155.1436792,143.514
2020,11,25,4.11,4.12,15.17,52.06,93.24,4.45,187.38,9.09,250.668614,139.077
2020,11,26,4.2,4.26,13.31,60.5,93.36,5.65,278.56,9.37,320.7434206,143.361
2020,11,27,4.04,3.8,13.07,66.19,93.88,3.22,141.62,8.45,183.9676363,129.285
2020,11,28,3.77,1.87,12.08,76.06,93.85,4.31,68.44,4.4,247.0181122,67.32
2020,11,29,4.09,3.88,10.99,74.5,94.08,2.27,65.56,8.72,130.9191699,133.416
2020,11,30,4.17,4.17,10.6,64.31,94.02,3.66,133.88,9.2,211.2408543,140.76
2020,12,1,3.86,3.83,11.73,65.94,93.69,4.4,112.81,8.45,252.0556332,129.285
2020,12,2,3.82,3.53,12.72,74.75,93.78,3.06,119,7.67,174.8539817,117.351
2020,12,3,3.86,3.73,12.27,78.44,94.04,4.62,86.25,8.2,265.144515,125.46
2020,12,4,3.61,2.61,12.72,78.38,93.94,4.55,93.31,5.79,260.438883,88.587
2020,12,5,3.64,2.14,12.31,81.25,93.56,4.12,147,4.84,235.2093712,74.052
2020,12,6,3.96,3.92,11.15,73.31,93.72,4.05,289.5,8.64,232.5535088,132.192
2020,12,7,4.05,3.8,11.5,57.25,94.12,2.58,208.81,8.44,148.5945529,129.132
2020,12,8,3.96,4.01,12.37,43.88,94.07,2.8,173.38,8.76,160.6886098,134.028
2020,12,9,3.94,3.91,12.26,58.19,94.11,4.31,268.75,8.74,247.5462269,133.722
2020,12,10,4,3.94,10.26,65.94,94.23,2.15,93.06,8.61,124.515935,131.733
2020,12,11,4.02,4.03,10.08,63.31,94.1,3.16,134.56,8.8,182.8731336,134.64
2020,12,12,3.97,3.81,11.06,54.94,94.07,3.34,151.94,8.33,192.5620538,127.449
2020,12,13,4,4.05,12.44,44,93.94,3.65,164.88,8.82,209.1283337,134.946
2020,12,14,4,3.96,13.99,34.62,93.55,5.38,167.31,8.66,305.3126682,132.498
2020,12,15,3.64,3.41,13.01,61.44,93.34,4.5,255.88,7.64,255.672393,116.892
2020,12,16,3.92,3.88,12.14,49.56,93.67,1.53,267.44,8.49,87.50197492,129.897
2020,12,17,3.87,3.87,11.45,54.5,93.92,2.28,258.94,8.56,131.060098,130.968
2020,12,18,3.88,3.83,11.15,70.69,94.1,2.14,280.62,8.54,123.3783592,130.662
2020,12,19,3.94,3.99,10.25,71.19,94.36,2.89,83.88,8.71,167.6094042,133.263
2020,12,20,3.99,4.03,9.73,71.12,94.4,4.09,111.69,8.73,237.7417812,133.569
2020,12,21,3.56,3.38,11.54,68.31,94.32,4.67,100.56,7.4,269.5013304,113.22
2020,12,22,3.53,3.1,11.98,76.44,94.03,3.17,124.75,6.94,182.0938329,106.182
2020,12,23,3.63,3.37,11.91,69.38,93.76,3.92,288.62,7.39,224.5845302,113.067
2020,12,24,3.92,3.7,9.92,71.62,93.91,3.59,261.75,8.19,207.4554733,125.307
2020,12,25,4.06,3.7,6.98,49.69,94.36,4.27,87.88,8.02,250.5351346,122.706
2020,12,26,3.65,2.18,5.59,43.69,94.47,5.23,99.69,5.2,308.7512764,79.56
2020,12,27,3.38,1.05,4.45,77.31,94.4,5.13,109.81,2.48,303.8661692,37.944
2020,12,28,3.79,3.7,5.57,79.62,94.3,4.09,87.75,8.12,241.034562,124.236
2020,12,29,3.78,3.63,7.17,67.56,94.17,3.84,80.56,8.02,224.6995297,122.706
2020,12,30,3.62,2.83,7.55,73.81,94.09,4.36,77.06,6.31,254.5657654,96.543
2020,12,31,3.59,3.54,8.84,83.75,94.01,4.45,81.81,7.73,258.4120785,118.269
2021,1,1,3.74,3.77,10.07,80.75,94.06,3.09,92.38,8.13,178.752444,124.389
2021,1,2,3.7,3.71,10.4,77.81,94.16,4.68,95.81,8.12,270.7042689,124.236
2021,1,3,3.52,3.37,11.69,76.62,94.04,5.41,83.62,7.34,311.1152945,112.302
2021,1,4,3.68,3.19,10.9,80.56,94.1,3.8,83.5,6.97,219.2758886,106.641
2021,1,5,3.76,3.4,11.44,72.12,94.18,3.92,100.19,7.51,225.9631241,114.903
2021,1,6,3.94,3.91,9.5,61.62,94.4,3.5,88.75,8.57,203.612062,131.121
2021,1,7,4.04,3.33,7.98,50.94,94.36,3.26,88.25,7.68,190.5946882,117.504
2021,1,8,4.12,4.18,7.13,44.25,94.26,3.23,92.38,9.18,189.2127083,140.454
2021,1,9,3.99,3.28,8.26,49.94,94.19,3.69,95,7.56,215.1315419,115.668
2021,1,10,3.82,3.33,8.9,57.44,94.29,3.14,93.19,7.45,182.844387,113.985
2021,1,11,4.16,4.18,9.9,52.88,94.54,1.99,111.19,9.09,115.7758474,139.077
2021,1,12,4.53,4.56,10.51,43.06,94.53,1.62,173.19,9.77,94.03705659,149.481
2021,1,13,4.52,4.1,9.54,41.75,93.96,4.23,186.19,9.16,244.8980814,140.148
2021,1,14,3.98,2.18,12.32,58.75,93.22,4.8,241.31,5.36,273.0249361,82.008
2021,1,15,4.5,4.52,9.38,65.56,93.72,3.21,265.38,10.15,185.4749215,155.295
