YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,PS,WD10M,WS10M,UVA,Wind Energy,Solar Energy
2020,2,26,6.71,6.7,20.65,42.69,100.25,205.38,6.27,15.4,372.659832,235.62
2020,2,27,6.38,6.45,23.58,39.38,100,171.69,3.71,15.08,217.7834664,230.724
2020,2,28,6.16,6.17,25.16,49.75,99.85,217.38,3.27,14.71,190.6516038,225.063
2020,2,29,5.06,6.16,25.01,59.38,99.72,216.88,3.26,12.44,189.9166073,190.332
2020,3,1,6.5,6.57,23.82,47.5,99.87,226.69,5.96,14.81,349.125189,226.593
2020,3,2,6.56,6.78,25.03,41.31,99.88,165.44,4.84,15.3,282.395543,234.09
2020,3,3,6.16,6.31,25.29,40.56,99.87,208.38,3.45,14.23,201.0988406,217.719
2020,3,4,5.64,6.02,26.4,55.38,99.87,213.5,3.12,13.34,181.1893943,204.102
2020,3,5,6.34,6.43,26.68,59.19,99.83,176.12,2.91,15.01,168.7685148,229.653
2020,3,6,6.5,6.6,26.2,63.75,99.77,198.69,3.32,15.32,192.7397301,234.396
2020,3,7,6.79,6.84,24.99,54.69,99.85,270.5,5.7,16.06,332.5179779,245.718
2020,3,8,6.93,6.93,25.73,36.56,99.79,173.44,4.67,15.95,271.5935813,244.035
2020,3,9,6.63,6.74,26.98,27.69,99.62,149,4.65,15.31,268.8453537,234.243
2020,3,10,6.42,6.55,26.78,36.19,99.64,174.88,3.59,15.16,207.7402802,231.948
2020,3,11,6.43,6.52,28.37,39.44,99.54,151.31,3.7,15.35,212.7627961,234.855
2020,3,12,6.44,6.53,29.26,44.81,99.26,142.88,7.8,15.64,445.9489837,239.292
2020,3,13,1.84,5.21,27.58,54,99.51,232.69,6.7,4.28,386.1688402,65.484
2020,3,14,6.03,6.45,23.42,48.75,99.94,308.31,5.57,13.92,326.9488215,212.976
2020,3,15,6.92,6.97,22.88,49.69,99.79,215.06,5.43,16.34,318.833231,250.002
2020,3,16,6.1,6.5,24.39,53.5,99.64,201.88,3.41,14.06,198.9093473,215.118
2020,3,17,6.31,6.56,25.31,48.38,99.61,182,2.83,14.76,164.518861,225.828
2020,3,18,7.12,7.14,25.19,44.75,99.73,248.06,5.51,17.19,320.8325223,263.007
2020,3,19,7.13,7.12,23.62,41.25,99.85,249.25,5.49,16.67,321.7457879,255.051
2020,3,20,7.22,7.29,23.17,39.25,99.78,207.31,5.19,16.98,304.4124045,259.794
2020,3,21,7.28,7.32,23.65,40.56,99.64,239.5,4.78,17.28,279.5182522,264.384
2020,3,22,7.44,7.46,22.34,43.5,99.91,254.06,6.52,17.55,383.995575,268.515
2020,3,23,7.72,7.72,23.15,32.38,99.86,168.06,4.88,17.93,286.4785998,274.329
2020,3,24,7.26,7.31,25.84,28.94,99.55,173.25,3.94,17.07,228.5037208,261.171
2020,3,25,6.94,7.23,27.8,28.88,99.34,160.19,3.12,16.48,179.3894322,252.144
2020,3,26,7.24,7.28,27.83,36.06,99.34,162.62,2.73,17.18,156.9501077,262.854
2020,3,27,7.04,7.12,28.19,44.69,99.34,162,8.19,16.86,470.2878152,257.958
2020,3,28,6.54,6.64,27.81,56.62,99.51,230.38,6.44,15.66,370.8995176,239.598
2020,3,29,7.18,7.28,24.93,52.62,99.63,324.38,5.95,17.02,346.4070416,260.406
2020,3,30,7.35,7.48,25.98,47.25,99.61,161.38,4.52,17.63,262.1765577,269.739
2020,3,31,7.05,7.12,27.26,43.12,99.61,175.31,3.1,16.48,179.0452079,252.144
2020,4,1,7.15,7.23,28.41,43.62,99.68,174.06,3.89,17.36,223.9733517,265.608
2020,4,2,7.1,7.16,28.42,42.19,99.62,238.12,4.38,17.23,252.0257786,263.619
2020,4,3,7.58,7.61,28.64,30,99.61,211.31,5.85,18,336.3306249,275.4
2020,4,4,7.23,7.25,29.82,30.88,99.6,160.81,3.79,17.8,217.0258044,272.34
2020,4,5,6.94,6.97,31.46,40.94,99.64,142.69,2.98,16.8,169.7924127,257.04
2020,4,6,7.13,7.23,31.41,40.81,99.64,153.81,4.01,17.24,228.5165616,263.772
2020,4,7,7.28,7.31,31.35,35.44,99.54,165.25,4.2,17.56,239.1509349,268.668
2020,4,8,7.48,7.56,30.97,37.56,99.46,232.31,3.76,18.44,214.192259,282.132
2020,4,9,6.77,7.16,29.72,44,99.4,178.88,4.23,16.27,241.8148387,248.931
2020,4,10,5.58,7.12,27.32,43.81,99.55,309.69,6.38,13.52,368.1910939,206.856
2020,4,11,5.63,7.16,25.35,40.06,99.75,343.56,7.77,13.74,452.2744361,210.222
2020,4,12,7.3,7.63,25,42.62,99.73,277.25,6.48,17.73,377.5534685,271.269
2020,4,13,7.83,7.91,25.34,43.38,99.66,219.06,5.62,18.62,326.8435098,284.886
2020,4,14,7.99,8.04,25.28,46.5,99.65,206,5.34,19.05,310.590762,291.465
2020,4,15,7.75,7.83,24.59,40.75,99.82,214.69,5.41,18.18,315.9294415,278.154
2020,4,16,7.5,7.56,26.39,47.69,99.63,184.44,4.06,17.48,235.2197541,267.444
2020,4,17,7.77,7.85,26.86,41.81,99.4,166.5,3.71,18.36,214.1100319,280.908
2020,4,18,6.13,7.25,27.45,45.75,99.46,237.94,2.84,14.7,163.6779857,224.91
2020,4,19,5.8,7.06,27.62,57.81,99.41,202.12,2.97,14.2,170.9875385,217.26
2020,4,20,6.93,7.12,28.27,52.62,99.4,253.81,3.09,16.7,177.4946436,255.51
2020,4,21,7.33,7.73,28.73,43.75,99.57,198.69,2.81,17.79,161.4406654,272.187
2020,4,22,7.93,8.08,29.12,46.25,99.66,179.75,3.4,19.37,195.2617634,296.361
2020,4,23,7.97,8.03,29.69,47.56,99.61,185.44,2.7,19.23,154.6913109,294.219
2020,4,24,8.02,8.07,30.7,30.94,99.5,176.31,2.83,19.34,161.4220018,295.902
2020,4,25,7.79,7.86,31.1,42.06,99.37,198.81,4.16,18.87,236.6630661,288.711
2020,4,26,7.35,7.49,29.07,51.38,99.57,273.88,4.63,17.79,265.7044023,272.187
2020,4,27,7.84,7.91,28.98,36.69,99.61,218.88,5.17,19.02,296.9012907,291.006
2020,4,28,7.82,7.89,30.98,35.69,99.44,160.75,3.55,19,202.1820799,290.7
2020,4,29,7.47,7.57,29.78,58.38,99.37,210.56,6.02,18.5,343.9710953,283.05
2020,4,30,7.88,7.96,28.98,41.88,99.47,222.06,5.22,19.19,299.3513516,293.607
2020,5,1,7.88,7.99,29.33,35.69,99.53,249.62,4.88,19.07,279.6981635,291.771
2020,5,2,8.23,8.31,28.94,38.06,99.53,238.94,4.17,19.65,239.3129294,300.645
2020,5,3,8.29,8.36,30.06,34.62,99.44,171.88,3.11,19.71,177.6603189,301.563
2020,5,4,7.94,8.03,30.69,26.62,99.42,167.12,3.68,19.07,209.7437764,291.771
2020,5,5,7.82,7.91,30.86,32.62,99.51,188.75,3.73,19.02,212.6670182,291.006
2020,5,6,7.73,7.81,31.66,38,99.51,225,3.85,18.44,218.9327327,282.132
2020,5,7,7.74,7.82,30.36,39.88,99.45,202.69,4.55,18.78,259.6902429,287.334
2020,5,8,7.33,7.48,32.16,39.94,99.39,191,3.13,18.28,177.4836911,279.684
2020,5,9,6.93,7.36,31.69,51.06,99.44,161.38,3.7,17.4,210.2341871,266.22
2020,5,10,6.27,7.4,31.81,52.44,99.57,244.94,3.85,15.91,218.9569883,243.423
2020,5,11,7.22,7.41,32.15,44.88,99.59,270.81,4.59,17.7,260.8038912,270.81
2020,5,12,6.65,7.31,33.02,36.56,99.47,212.12,4.15,16.04,234.8497129,245.412
2020,5,13,7.08,7.2,34.3,32.12,99.32,220.25,3.53,17.03,198.6320716,260.559
2020,5,14,6.54,7.09,34.12,39,99.15,143.38,2.41,15.58,135.4571874,238.374
2020,5,15,6.84,7.17,34.21,36.75,99.17,173,2.83,16.46,159.0493338,251.838
2020,5,16,7.35,7.51,34.73,35.38,99.23,142.31,4.77,18.07,267.7887609,276.471
2020,5,17,7.37,7.55,34.93,32.81,99.29,184.88,3.53,18.13,198.1660093,277.389
2020,5,18,2.45,6.45,35.05,32.69,99.39,205.94,2.38,5.98,133.6901672,91.494
2020,5,19,4.18,7.13,34.05,36.44,99.45,223.44,2.99,10.54,168.6037453,161.262
2020,5,20,7.41,7.52,34.08,31.62,99.29,191.94,3.06,17.73,172.2565598,271.269
2020,5,21,7.43,7.57,34.82,27.94,99.26,214.44,2.9,17.71,162.8082128,270.963
2020,5,22,7.76,7.87,34.87,24.56,99.34,178.19,3.59,18.69,201.6750349,285.957
