YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2021,1,28,4.51,4.33,18.59,61.31,101.64,3.39,154.56,9.58,205.7220432,146.574
2021,1,29,4.67,3.95,19.58,60.88,101.38,5.46,161.88,9.18,329.374634,140.454
2021,1,30,4.02,3.77,18.75,52.69,101.53,7.4,311.19,8.3,448.3368788,126.99
2021,1,31,4.76,4.61,16.78,56.75,101.92,6.21,339.06,10.02,380.2509544,153.306
2021,2,1,4.91,4.69,16.85,60.88,102.05,6.01,329.5,10.27,368.3849984,157.131
2021,2,2,4.63,4.47,17.5,63.5,102.02,5.94,331.94,9.85,363.1732814,150.705
2021,2,3,4.5,4.32,18.33,63,101.77,4.02,249,9.29,244.4834807,142.137
2021,2,4,4.63,4.5,19.38,62.31,101.58,2.36,204,9.66,142.7454432,147.798
2021,2,5,4.75,4.54,19.58,72.56,101.38,5.3,138.06,10.12,319.7226301,154.836
2021,2,6,4.53,4.21,20.42,71.56,101.16,3.91,157.19,9.38,234.6855544,143.514
2021,2,7,4.51,3.2,19.57,70.25,101.49,5.52,339,7.7,333.3668312,117.81
2021,2,8,4.66,4.42,17.67,73.94,102.06,5.97,328.94,9.94,364.9371517,152.082
2021,2,9,4.84,4.6,17.9,72.44,102.07,6.71,326.38,10.2,409.8882647,156.06
2021,2,10,5.01,4.88,17.86,65.5,101.72,5.07,324.94,10.45,308.6873632,159.885
2021,2,11,5.04,4.82,18.05,67.31,101.44,6.01,327.75,10.48,364.6739952,160.344
2021,2,12,5.21,4.95,18.7,56.38,101.34,5.11,259.19,10.63,309.0683656,162.639
2021,2,13,5.32,5.05,18.92,59.81,101.44,3.99,256.94,10.88,241.3835325,166.464
2021,2,14,5.28,4.89,20.48,53.31,101.53,4.95,331.75,11.02,298.1340729,168.606
2021,2,15,5.22,5.04,21.05,49,101.35,4.05,246.31,10.7,243.0236621,163.71
2021,2,16,5.32,5.08,21.77,44.94,101.11,2.35,162.94,11.15,140.3363577,170.595
