YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,WD10M,UVA,Wind Energy,Solar Energy
2022,4,1,7.46,7.39,26.56,12.12,94.58,2.88,129.31,16.36,158.3080564,250.308
2022,4,2,7.47,7.29,26.17,13.38,94.56,2.41,31.25,16.09,132.6176179,246.177
2022,4,3,7.5,7.48,26.94,13.12,94.39,2.9,161.25,16.43,158.8857373,251.379
2022,4,4,7.66,7.64,28.38,10.88,94.26,3.37,163,17.17,183.5013492,262.701
2022,4,5,7.45,7.08,28.09,9.5,94.36,3.34,114.94,15.68,182.2360163,239.904
2022,4,6,7.71,7.62,26.8,11.62,94.45,4.21,141.94,17.01,230.9126072,260.253
2022,4,7,7.3,6.94,28.54,8,94.34,5,177.38,15.23,272.3437508,233.019
2022,4,8,7.52,7.49,26.98,8.75,94.36,3.2,121.81,16.53,175.2431114,252.909
2022,4,9,7.5,6.64,28.18,8.5,94.07,4.18,185.94,14.86,227.2989907,227.358
2022,4,10,6.9,6.66,26.66,17.25,94.2,3.25,100.31,14.45,177.8691389,221.085
2022,4,11,7.16,6.66,28.86,19,94.03,4.28,155.69,15.27,232.1139995,233.631
2022,4,12,7.1,6.62,30.93,18.12,93.79,5.11,201.44,15.24,274.5377263,233.172
2022,4,13,7.06,6.33,29.97,16.44,93.74,3.39,241,14.28,182.6091388,218.484
2022,4,14,7.01,4.89,29.05,21.38,93.83,4.46,188.12,10.79,241.2095887,165.087
2022,4,15,6.94,3.67,28.28,34.25,94.03,5.05,239.81,8.48,274.3998021,129.744
2022,4,16,6.95,5.1,30.04,28.69,93.91,4.34,233,11.41,234.1526893,174.573
2022,4,17,6.99,6.74,27.36,21.88,93.97,3.2,64.44,15.14,174.2981308,231.642
2022,4,18,7.51,7.44,25.62,14.44,94.24,3.45,130.62,16.7,189.5526405,255.51
2022,4,19,7.68,7.13,27.76,8.31,94.24,1.85,138.56,15.54,100.9213005,237.762
2022,4,20,7.18,6.22,28.99,12.06,93.99,4.36,181.69,14.15,236.2502992,216.495
2022,4,21,7.04,6.61,31.02,12.12,93.89,3.77,190.88,15.11,202.7014076,231.183
2022,4,22,6.53,4.55,26.37,20.38,94.16,3.77,151.31,9.7,206.4402737,148.41
2022,4,23,7.02,5.65,28.48,18.31,94,4.22,176.62,12.45,229.0752787,190.485
2022,4,24,7.22,5.07,29.04,16.12,93.85,4.55,142.69,11.59,246.1376433,177.327
2022,4,25,7.22,2.55,25.51,26.31,94.07,3.89,239.25,6.37,213.4205023,97.461
2022,4,26,7.06,6.99,28.1,28.38,94.02,4.14,207.19,16.37,225.0639753,250.461
2022,4,27,7.38,6.75,27.99,23.19,93.91,2.92,161.25,16.04,158.6129706,245.412
2022,4,28,6.61,4.19,25.27,40,94.12,4.11,243.12,9.32,225.7918529,142.596
